FILE:2016-12-01 08:12:32,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 08:12:32,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 08:12:32,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
FILE:2016-12-01 09:10:14,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 09:10:14,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 09:10:14,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
FILE:2016-12-01 09:16:03,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 09:16:03,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 09:16:03,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
FILE:2016-12-01 09:16:14,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 09:16:14,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 09:16:14,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
FILE:2016-12-01 09:16:39,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 09:16:39,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 09:16:39,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
FILE:2016-12-01 09:16:49,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 09:16:49,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 09:16:49,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
FILE:2016-12-01 09:17:55,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 09:17:55,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 09:17:55,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
FILE:2016-12-01 09:18:05,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 09:18:05,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 09:18:05,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
FILE:2016-12-01 09:19:19,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 09:19:19,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 09:19:19,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
FILE:2016-12-01 09:20:36,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 09:20:36,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 09:20:36,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
FILE:2016-12-01 09:21:27,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 09:21:27,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 09:21:27,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
FILE:2016-12-01 09:22:35,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 09:22:35,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 09:22:35,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
FILE:2016-12-01 09:40:44,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
FILE:2016-12-01 09:40:44,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（二期）.xlsx
FILE:2016-12-01 09:40:44,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-铟钢丝位移计.xlsx
写入672行测值
写入672行成果值
FILE:2016-12-01 09:42:32,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\基岩变位计、回弹仪\基岩变位计（一期）.xlsx
DATA:M1-2,32,数据误差超限
DATA:M1-4,32,数据误差超限
DATA:M1-4,336,数据误差超限
DATA:M11-1,66,数据误差超限
DATA:M11-1,67,数据误差超限
DATA:M11-1,68,数据误差超限
DATA:M11-1,69,数据误差超限
DATA:M12-1,96,数据误差超限
DATA:M12-1,97,数据误差超限
DATA:M12-1,98,数据误差超限
DATA:M12-1,99,数据误差超限
DATA:M12-1,100,数据误差超限
DATA:M12-1,101,数据误差超限
DATA:M12-1,102,数据误差超限
DATA:M12-1,103,数据误差超限
DATA:M12-1,104,数据误差超限
DATA:M12-1,105,数据误差超限
DATA:M12-1,106,数据误差超限
DATA:M12-1,107,数据误差超限
DATA:M12-1,108,数据误差超限
DATA:M12-1,109,数据误差超限
DATA:M12-1,110,数据误差超限
DATA:M12-1,111,数据误差超限
DATA:M12-1,112,数据误差超限
DATA:M12-1,113,数据误差超限
DATA:M12-1,114,数据误差超限
DATA:M12-1,115,数据误差超限
DATA:M12-1,116,数据误差超限
DATA:M12-1,117,数据误差超限
DATA:M12-1,118,数据误差超限
DATA:M12-1,119,数据误差超限
DATA:M12-1,120,数据误差超限
DATA:M12-1,121,数据误差超限
DATA:M12-1,122,数据误差超限
DATA:M12-1,123,数据误差超限
DATA:M12-1,124,数据误差超限
DATA:M12-1,126,数据误差超限
DATA:M12-1,127,数据误差超限
DATA:M12-1,130,数据误差超限
DATA:M12-1,131,数据误差超限
DATA:M12-1,132,数据误差超限
DATA:M12-1,133,数据误差超限
DATA:M12-1,134,数据误差超限
DATA:M12-1,135,数据误差超限
DATA:M12-1,136,数据误差超限
DATA:M12-1,137,数据误差超限
DATA:M12-1,138,数据误差超限
DATA:M12-1,139,数据误差超限
DATA:M12-1,140,数据误差超限
DATA:M12-1,141,数据误差超限
DATA:M12-1,142,数据误差超限
DATA:M12-1,143,数据误差超限
DATA:M12-1,144,数据误差超限
DATA:M12-1,145,数据误差超限
DATA:M12-1,146,数据误差超限
DATA:M12-1,147,数据误差超限
DATA:M12-1,148,数据误差超限
DATA:M12-1,149,数据误差超限
DATA:M12-1,150,数据误差超限
DATA:M12-1,151,数据误差超限
DATA:M12-1,152,数据误差超限
DATA:M12-1,153,数据误差超限
DATA:M12-1,154,数据误差超限
DATA:M12-1,155,数据误差超限
DATA:M12-1,156,数据误差超限
DATA:M12-1,157,数据误差超限
DATA:M12-1,158,数据误差超限
DATA:M12-1,159,数据误差超限
DATA:M12-1,160,数据误差超限
DATA:M12-1,161,数据误差超限
DATA:M12-1,162,数据误差超限
DATA:M12-1,163,数据误差超限
DATA:M12-1,164,数据误差超限
DATA:M12-1,165,数据误差超限
DATA:M12-1,166,数据误差超限
DATA:M12-1,167,数据误差超限
DATA:M12-1,168,数据误差超限
DATA:M12-1,169,数据误差超限
DATA:M12-1,170,数据误差超限
DATA:M12-1,171,数据误差超限
DATA:M12-1,172,数据误差超限
DATA:M12-1,173,数据误差超限
DATA:M12-1,174,数据误差超限
DATA:M12-1,175,数据误差超限
DATA:M12-1,176,数据误差超限
DATA:M12-1,177,数据误差超限
DATA:M12-1,178,数据误差超限
DATA:M12-1,179,数据误差超限
DATA:M12-1,180,数据误差超限
DATA:M12-1,181,数据误差超限
DATA:M12-1,182,数据误差超限
DATA:M12-1,183,数据误差超限
DATA:M12-1,184,数据误差超限
DATA:M12-1,185,数据误差超限
DATA:M12-1,186,数据误差超限
DATA:M12-1,187,数据误差超限
DATA:M12-1,188,数据误差超限
DATA:M12-1,189,数据误差超限
DATA:M12-1,190,数据误差超限
DATA:M12-1,191,数据误差超限
DATA:M12-1,192,数据误差超限
DATA:M12-1,193,数据误差超限
DATA:M12-1,194,数据误差超限
DATA:M12-1,195,数据误差超限
DATA:M12-1,196,数据误差超限
DATA:M12-1,197,数据误差超限
DATA:M12-1,198,数据误差超限
DATA:M12-1,199,数据误差超限
DATA:M12-1,200,数据误差超限
DATA:M12-1,201,数据误差超限
DATA:M12-1,202,数据误差超限
DATA:M12-1,203,数据误差超限
DATA:M12-1,204,数据误差超限
DATA:M12-1,205,数据误差超限
DATA:M12-1,206,数据误差超限
DATA:M12-1,207,数据误差超限
DATA:M12-1,208,数据误差超限
DATA:M12-1,209,数据误差超限
DATA:M12-1,210,数据误差超限
DATA:M12-1,211,数据误差超限
DATA:M12-1,212,数据误差超限
DATA:M12-1,213,数据误差超限
DATA:M12-1,214,数据误差超限
DATA:M12-1,215,数据误差超限
DATA:M12-1,216,数据误差超限
DATA:M12-1,217,数据误差超限
DATA:M12-1,218,数据误差超限
DATA:M12-1,219,数据误差超限
DATA:M12-2,96,数据误差超限
DATA:M12-2,97,数据误差超限
DATA:M12-2,98,数据误差超限
DATA:M12-2,99,数据误差超限
DATA:M12-2,100,数据误差超限
DATA:M12-2,101,数据误差超限
DATA:M12-2,102,数据误差超限
DATA:M12-2,103,数据误差超限
DATA:M12-2,104,数据误差超限
DATA:M12-2,105,数据误差超限
DATA:M12-2,106,数据误差超限
DATA:M12-2,107,数据误差超限
DATA:M12-2,108,数据误差超限
DATA:M12-2,109,数据误差超限
DATA:M12-2,110,数据误差超限
DATA:M12-2,111,数据误差超限
DATA:M12-2,112,数据误差超限
DATA:M12-2,113,数据误差超限
DATA:M12-2,114,数据误差超限
DATA:M12-2,115,数据误差超限
DATA:M12-2,116,数据误差超限
DATA:M12-2,117,数据误差超限
DATA:M12-2,118,数据误差超限
DATA:M12-2,119,数据误差超限
DATA:M12-2,120,数据误差超限
DATA:M12-2,121,数据误差超限
DATA:M12-2,122,数据误差超限
DATA:M12-2,123,数据误差超限
DATA:M12-2,124,数据误差超限
DATA:M12-2,126,数据误差超限
DATA:M12-2,127,数据误差超限
DATA:M12-2,130,数据误差超限
DATA:M12-2,131,数据误差超限
DATA:M12-2,132,数据误差超限
DATA:M12-2,133,数据误差超限
DATA:M12-2,134,数据误差超限
DATA:M12-2,135,数据误差超限
DATA:M12-2,136,数据误差超限
DATA:M12-2,137,数据误差超限
DATA:M12-2,138,数据误差超限
DATA:M12-2,139,数据误差超限
DATA:M12-2,140,数据误差超限
DATA:M12-2,141,数据误差超限
DATA:M12-2,142,数据误差超限
DATA:M12-2,143,数据误差超限
DATA:M12-2,144,数据误差超限
DATA:M12-2,145,数据误差超限
DATA:M12-2,146,数据误差超限
DATA:M12-2,147,数据误差超限
DATA:M12-2,148,数据误差超限
DATA:M12-2,149,数据误差超限
DATA:M12-2,150,数据误差超限
DATA:M12-2,151,数据误差超限
DATA:M12-2,152,数据误差超限
DATA:M12-2,153,数据误差超限
DATA:M12-2,154,数据误差超限
DATA:M12-2,155,数据误差超限
DATA:M12-2,156,数据误差超限
DATA:M12-2,157,数据误差超限
DATA:M12-2,158,数据误差超限
DATA:M12-2,159,数据误差超限
