FILE:2016-12-07 08:42:45,D:\AWORK\向家坝\向家坝10月份数据\2016年10月月报及数据\2标段内观\出水口边坡\出水口边坡-锚索测力计.xlsx
FILE:2016-12-07 08:42:45,D:\AWORK\向家坝\向家坝10月份数据\2016年10月月报及数据\2标段内观\右岸马延坡边坡\马延坡-锚索测力计.xlsx
DATA:DP-13CP,12,所有数据误差超限
DATA:DP-13CP,13,所有数据误差超限
DATA:DP-13CP,14,所有数据误差超限
DATA:DP-13CP,15,所有数据误差超限
DATA:DP-13CP,16,所有数据误差超限
DATA:DP-13CP,17,所有数据误差超限
DATA:DP-13CP,18,所有数据误差超限
DATA:DP-13CP,19,所有数据误差超限
DATA:DP-13CP,20,所有数据误差超限
DATA:DP-13CP,21,所有数据误差超限
DATA:DP-13CP,22,所有数据误差超限
DATA:DP-13CP,23,所有数据误差超限
DATA:DP-13CP,24,所有数据误差超限
DATA:DP-13CP,25,所有数据误差超限
DATA:DP-13CP,26,所有数据误差超限
DATA:DP-13CP,27,所有数据误差超限
DATA:DP-13CP,28,所有数据误差超限
DATA:DP-13CP,29,所有数据误差超限
DATA:DP-13CP,30,所有数据误差超限
DATA:DP-13CP,31,所有数据误差超限
DATA:DP-13CP,32,所有数据误差超限
DATA:DP-13CP,33,所有数据误差超限
DATA:DP-13CP,34,所有数据误差超限
DATA:DP-13CP,35,所有数据误差超限
DATA:DP-13CP,36,所有数据误差超限
DATA:DP-13CP,37,所有数据误差超限
DATA:DP-13CP,38,所有数据误差超限
DATA:DP-13CP,39,所有数据误差超限
DATA:DP-13CP,40,所有数据误差超限
DATA:DP-13CP,41,所有数据误差超限
DATA:DP-13CP,42,所有数据误差超限
DATA:DP-13CP,43,所有数据误差超限
DATA:DP-13CP,44,所有数据误差超限
DATA:DP-13CP,45,所有数据误差超限
DATA:DP-13CP,46,所有数据误差超限
DATA:DP-13CP,47,所有数据误差超限
DATA:DP-13CP,48,所有数据误差超限
DATA:DP-13CP,49,所有数据误差超限
DATA:DP-13CP,50,所有数据误差超限
DATA:DP-13CP,51,所有数据误差超限
DATA:DP-13CP,52,所有数据误差超限
DATA:DP-13CP,53,所有数据误差超限
DATA:DP-13CP,54,所有数据误差超限
DATA:DP-13CP,55,所有数据误差超限
DATA:DP-13CP,56,所有数据误差超限
DATA:DP-13CP,57,所有数据误差超限
DATA:DP-13CP,58,所有数据误差超限
DATA:DP-13CP,59,所有数据误差超限
DATA:DP-13CP,60,所有数据误差超限
DATA:DP-13CP,61,所有数据误差超限
DATA:DP-13CP,62,所有数据误差超限
DATA:DP-13CP,63,所有数据误差超限
DATA:DP-13CP,64,所有数据误差超限
DATA:DP-13CP,65,所有数据误差超限
DATA:DP-13CP,66,所有数据误差超限
DATA:DP-13CP,67,所有数据误差超限
DATA:DP-13CP,68,所有数据误差超限
DATA:DP-13CP,69,所有数据误差超限
DATA:DP-13CP,70,所有数据误差超限
DATA:DP-13CP,71,所有数据误差超限
DATA:DP-13CP,72,所有数据误差超限
DATA:DP-13CP,73,所有数据误差超限
DATA:DP-13CP,74,所有数据误差超限
DATA:DP-13CP,75,所有数据误差超限
DATA:DP-13CP,76,所有数据误差超限
DATA:DP-13CP,77,所有数据误差超限
DATA:DP-13CP,78,所有数据误差超限
DATA:DP-13CP,79,所有数据误差超限
DATA:DP-13CP,80,所有数据误差超限
DATA:DP-13CP,81,所有数据误差超限
DATA:DP-13CP,82,所有数据误差超限
DATA:DP-13CP,83,所有数据误差超限
DATA:DP-13CP,84,所有数据误差超限
DATA:DP-13CP,85,所有数据误差超限
DATA:DP-13CP,86,所有数据误差超限
DATA:DP-13CP,87,所有数据误差超限
DATA:DP-13CP,88,所有数据误差超限
DATA:DP-15CP,12,所有数据误差超限
DATA:DP-15CP,13,所有数据误差超限
DATA:DP-15CP,14,所有数据误差超限
DATA:DP-15CP,15,所有数据误差超限
DATA:DP-15CP,16,所有数据误差超限
DATA:DP-15CP,17,所有数据误差超限
DATA:DP-15CP,18,所有数据误差超限
DATA:DP-15CP,19,所有数据误差超限
DATA:DP-15CP,20,所有数据误差超限
DATA:DP-15CP,21,所有数据误差超限
DATA:DP-15CP,22,所有数据误差超限
DATA:DP-15CP,23,所有数据误差超限
DATA:DP-15CP,24,所有数据误差超限
DATA:DP-15CP,25,所有数据误差超限
DATA:DP-15CP,26,所有数据误差超限
DATA:DP-15CP,27,所有数据误差超限
DATA:DP-15CP,28,所有数据误差超限
DATA:DP-15CP,29,所有数据误差超限
DATA:DP-15CP,30,所有数据误差超限
DATA:DP-15CP,31,所有数据误差超限
DATA:DP-15CP,32,所有数据误差超限
DATA:DP-15CP,33,所有数据误差超限
DATA:DP-15CP,34,所有数据误差超限
DATA:DP-15CP,35,所有数据误差超限
DATA:DP-15CP,36,所有数据误差超限
DATA:DP-15CP,37,所有数据误差超限
DATA:DP-15CP,38,所有数据误差超限
DATA:DP-15CP,39,所有数据误差超限
DATA:DP-15CP,40,所有数据误差超限
DATA:DP-15CP,41,所有数据误差超限
DATA:DP-15CP,42,所有数据误差超限
DATA:DP-15CP,43,所有数据误差超限
DATA:DP-15CP,44,所有数据误差超限
DATA:DP-15CP,45,所有数据误差超限
DATA:DP-15CP,46,所有数据误差超限
DATA:DP-15CP,47,所有数据误差超限
DATA:DP-15CP,48,所有数据误差超限
DATA:DP-15CP,49,所有数据误差超限
DATA:DP-15CP,50,所有数据误差超限
DATA:DP-15CP,51,所有数据误差超限
DATA:DP-15CP,52,所有数据误差超限
DATA:DP-15CP,53,所有数据误差超限
DATA:DP-15CP,54,所有数据误差超限
DATA:DP-15CP,55,所有数据误差超限
DATA:DP-15CP,56,所有数据误差超限
DATA:DP-15CP,57,所有数据误差超限
DATA:DP-15CP,58,所有数据误差超限
DATA:DP-15CP,59,所有数据误差超限
DATA:DP-15CP,60,所有数据误差超限
DATA:DP-15CP,61,所有数据误差超限
DATA:DP-15CP,62,所有数据误差超限
DATA:DP-15CP,63,所有数据误差超限
DATA:DP-15CP,64,所有数据误差超限
DATA:DP-15CP,65,所有数据误差超限
DATA:DP-15CP,66,所有数据误差超限
DATA:DP-15CP,67,所有数据误差超限
DATA:DP-15CP,68,所有数据误差超限
DATA:DP-15CP,69,所有数据误差超限
DATA:DP-15CP,70,所有数据误差超限
DATA:DP-15CP,71,所有数据误差超限
DATA:DP-15CP,72,所有数据误差超限
DATA:DP-15CP,73,所有数据误差超限
DATA:DP-15CP,74,所有数据误差超限
DATA:DP-15CP,75,所有数据误差超限
DATA:DP-15CP,76,所有数据误差超限
DATA:DP-15CP,77,所有数据误差超限
DATA:DP-15CP,78,所有数据误差超限
DATA:DP-15CP,79,所有数据误差超限
DATA:DP-15CP,80,所有数据误差超限
DATA:DP-15CP,81,所有数据误差超限
DATA:DP-15CP,82,所有数据误差超限
DATA:DP-15CP,83,所有数据误差超限
DATA:DP-15CP,84,所有数据误差超限
DATA:DP-15CP,85,所有数据误差超限
DATA:DP-15CP,86,所有数据误差超限
DATA:DP-15CP,87,所有数据误差超限
DATA:DP-15CP,88,所有数据误差超限
DATA:DP-15CP,89,所有数据误差超限
DATA:DP-15CP,90,所有数据误差超限
DATA:DP-15CP,91,所有数据误差超限
DATA:DP-15CP,92,所有数据误差超限
DATA:DP-15CP,93,所有数据误差超限
DATA:DP-15CP,94,所有数据误差超限
DATA:DP-15CP,95,所有数据误差超限
DATA:DP-15CP,96,所有数据误差超限
DATA:DP-15CP,97,所有数据误差超限
DATA:DP-15CP,98,所有数据误差超限
DATA:DP-15CP,99,所有数据误差超限
DATA:DP-15CP,100,所有数据误差超限
DATA:DP-15CP,101,所有数据误差超限
DATA:DP-15CP,102,所有数据误差超限
DATA:DP-15CP,103,所有数据误差超限
DATA:DP-15CP,104,所有数据误差超限
DATA:DP-15CP,105,所有数据误差超限
DATA:DP-15CP,106,所有数据误差超限
DATA:DP-15CP,107,所有数据误差超限
DATA:DP-15CP,108,所有数据误差超限
DATA:DP-15CP,109,所有数据误差超限
DATA:DP-15CP,110,所有数据误差超限
DATA:DP-15CP,111,所有数据误差超限
DATA:DP-15CP,112,所有数据误差超限
DATA:DP-15CP,113,所有数据误差超限
DATA:DP-15CP,114,所有数据误差超限
DATA:DP-15CP,115,所有数据误差超限
DATA:DP-15CP,116,所有数据误差超限
DATA:DP-15CP,117,所有数据误差超限
DATA:DP-15CP,118,所有数据误差超限
DATA:DP-15CP,119,所有数据误差超限
DATA:DP-15CP,120,所有数据误差超限
DATA:DP-15CP,121,所有数据误差超限
DATA:DP-15CP,122,所有数据误差超限
DATA:DP-15CP,123,所有数据误差超限
DATA:DP-15CP,124,所有数据误差超限
DATA:DP-15CP,125,所有数据误差超限
DATA:DP-15CP,126,所有数据误差超限
DATA:DP-15CP,127,所有数据误差超限
DATA:DP-15CP,128,所有数据误差超限
DATA:DP-15CP,129,所有数据误差超限
DATA:DP-15CP,130,所有数据误差超限
DATA:DP-15CP,131,所有数据误差超限
DATA:DP-15CP,132,所有数据误差超限
DATA:DP-15CP,133,所有数据误差超限
DATA:DP-15CP,134,所有数据误差超限
DATA:DP-15CP,135,所有数据误差超限
DATA:DP-15CP,136,所有数据误差超限
DATA:DP-15CP,137,所有数据误差超限
DATA:DP-15CP,138,所有数据误差超限
DATA:DP-15CP,139,所有数据误差超限
DATA:DP-15CP,140,所有数据误差超限
