FILE:2017-02-06 10:17:37,D:\AWORK\向家坝\2016.12数据\渗压计、测压管、水文孔、量水堰\水位孔\水位孔（一期）.xlsx
DATA:zOH1-1,37,数据误差超限
DATA:zOH1-1,38,数据误差超限
DATA:zOH1-1,39,数据误差超限
DATA:zOH1-1,40,数据误差超限
DATA:zOH1-1,41,数据误差超限
DATA:zOH1-1,42,数据误差超限
DATA:zOH1-1,43,数据误差超限
DATA:zOH1-1,44,数据误差超限
DATA:zOH1-1,45,数据误差超限
DATA:zOH1-1,46,数据误差超限
DATA:zOH1-1,47,数据误差超限
DATA:zOH1-1,48,数据误差超限
DATA:zOH1-1,49,数据误差超限
DATA:zOH1-1,50,数据误差超限
DATA:zOH1-1,51,数据误差超限
DATA:zOH1-1,52,数据误差超限
DATA:zOH1-1,53,数据误差超限
DATA:zOH1-1,54,数据误差超限
DATA:zOH1-2,39,数据误差超限
DATA:zOH1-2,40,数据误差超限
DATA:zOH1-2,41,数据误差超限
DATA:zOH1-2,42,数据误差超限
DATA:zOH1-2,43,数据误差超限
DATA:zOH1-2,44,数据误差超限
DATA:zOH1-2,45,数据误差超限
DATA:zOH1-2,46,数据误差超限
DATA:zOH1-2,47,数据误差超限
DATA:zOH1-2,48,数据误差超限
DATA:zOH1-2,49,数据误差超限
DATA:zOH1-2,50,数据误差超限
DATA:zOH1-2,51,数据误差超限
DATA:zOH1-2,52,数据误差超限
DATA:zOH1-2,53,数据误差超限
DATA:zOH1-2,54,数据误差超限
DATA:zOH1-2,55,数据误差超限
DATA:zOH1-2,56,数据误差超限
FILE:2017-02-06 10:17:37,D:\AWORK\向家坝\2016.12数据\渗压计、测压管、水文孔、量水堰\水位孔\水位孔（二期）.xlsx
DATA:OH1-1,7,数据误差超限
DATA:OH1-1,8,数据误差超限
DATA:OH1-1,9,数据误差超限
DATA:OH1-1,10,数据误差超限
DATA:OH1-1,11,数据误差超限
DATA:OH1-1,12,数据误差超限
DATA:OH1-1,13,数据误差超限
DATA:OH1-1,14,数据误差超限
DATA:OH1-1,15,数据误差超限
DATA:OH1-1,16,数据误差超限
DATA:OH1-1,17,数据误差超限
DATA:OH1-1,18,数据误差超限
DATA:OH1-1,19,数据误差超限
DATA:OH1-1,20,数据误差超限
DATA:OH1-1,21,数据误差超限
DATA:OH1-1,22,数据误差超限
DATA:OH1-2,7,数据误差超限
DATA:OH1-2,8,数据误差超限
DATA:OH1-2,9,数据误差超限
DATA:OH1-2,10,数据误差超限
DATA:OH1-2,11,数据误差超限
DATA:OH1-2,12,数据误差超限
DATA:OH1-2,13,数据误差超限
DATA:OH1-2,14,数据误差超限
DATA:OH1-2,15,数据误差超限
DATA:OH1-2,16,数据误差超限
DATA:OH1-2,17,数据误差超限
DATA:OH1-2,18,数据误差超限
DATA:OH1-2,19,数据误差超限
DATA:OH1-2,20,数据误差超限
DATA:OH1-3,7,数据误差超限
DATA:OH1-3,8,数据误差超限
DATA:OH1-3,9,数据误差超限
DATA:OH1-3,10,数据误差超限
DATA:OH1-3,11,数据误差超限
DATA:OH1-3,12,数据误差超限
DATA:OH1-3,13,数据误差超限
DATA:OH1-3,14,数据误差超限
DATA:OH1-3,15,数据误差超限
DATA:OH1-3,16,数据误差超限
DATA:OH1-3,17,数据误差超限
DATA:OH1-3,18,数据误差超限
DATA:OH1-3,19,数据误差超限
DATA:OH1-3,20,数据误差超限
DATA:OH1-3,221,数据误差超限
DATA:OH1-3,222,数据误差超限
DATA:OH1-3,223,数据误差超限
DATA:OH1-3,224,数据误差超限
DATA:OH1-3,225,数据误差超限
DATA:OH1-3,226,数据误差超限
DATA:OH1-3,227,数据误差超限
DATA:OH1-3,228,数据误差超限
DATA:OH1-3,229,数据误差超限
DATA:OH1-3,230,数据误差超限
DATA:OH1-4,7,数据误差超限
DATA:OH1-4,8,数据误差超限
DATA:OH1-4,9,数据误差超限
DATA:OH1-4,10,数据误差超限
