FILE:2017-03-09 04:23:31,D:\AWORK\向家坝\向家坝10月份数据\10月数据\渗压计、测压管、水文孔、量水堰\渗压计\渗压计（二期）-1(坝体、坝基).xlsx
DATA:PH-9,9,数据误差超限
DATA:PH-9,10,数据误差超限
DATA:PH-10,8,数据误差超限
DATA:PH-10,9,数据误差超限
DATA:PH-10,10,数据误差超限
DATA:PH-10,11,数据误差超限
DATA:PH-10,12,数据误差超限
DATA:PH-10,13,数据误差超限
DATA:PH-10,14,数据误差超限
DATA:PH-10,15,数据误差超限
DATA:PH-10,16,数据误差超限
DATA:PH-10,17,数据误差超限
DATA:PH-10,18,数据误差超限
DATA:PH-10,19,数据误差超限
DATA:PH-10,20,数据误差超限
DATA:PH-10,21,数据误差超限
DATA:PH-10,22,数据误差超限
DATA:PH-10,23,数据误差超限
DATA:PH-10,24,数据误差超限
DATA:PH-10,25,数据误差超限
DATA:PH-10,26,数据误差超限
DATA:PH-10,27,数据误差超限
DATA:PH-10,431,观测日期有误
DATA:PH-11,8,数据误差超限
DATA:PH-11,9,数据误差超限
DATA:PH-11,10,数据误差超限
DATA:PH-11,11,数据误差超限
DATA:PH-11,12,数据误差超限
DATA:PH-11,13,数据误差超限
DATA:PH-11,14,数据误差超限
DATA:PH-11,15,数据误差超限
DATA:PH-11,16,数据误差超限
DATA:PH-11,17,数据误差超限
DATA:PH-11,18,数据误差超限
DATA:PH-11,19,数据误差超限
DATA:PH-11,20,数据误差超限
DATA:PH-11,21,数据误差超限
DATA:PH-11,22,数据误差超限
DATA:PH-11,23,数据误差超限
DATA:PH-11,24,数据误差超限
DATA:PH-11,25,数据误差超限
DATA:PH-11,26,数据误差超限
DATA:PH-11,27,数据误差超限
DATA:PH-11,35,数据误差超限
DATA:PH-11,36,数据误差超限
DATA:PH-11,37,数据误差超限
DATA:PH-11,38,数据误差超限
DATA:PH-11,39,数据误差超限
DATA:PH-11,40,数据误差超限
DATA:PH-11,41,数据误差超限
DATA:PH-11,42,数据误差超限
DATA:PH-11,43,数据误差超限
DATA:PH-11,44,数据误差超限
DATA:PH-11,45,数据误差超限
DATA:PH-11,46,数据误差超限
DATA:PH-11,47,数据误差超限
DATA:PH-11,48,数据误差超限
DATA:PH-11,49,数据误差超限
DATA:PH-11,50,数据误差超限
DATA:PH-11,51,数据误差超限
DATA:PH-11,52,数据误差超限
DATA:PH-12,8,数据误差超限
DATA:PH-12,9,数据误差超限
DATA:PH-12,10,数据误差超限
DATA:PH-12,11,数据误差超限
DATA:PH-12,12,数据误差超限
DATA:PH-12,13,数据误差超限
DATA:PH-12,14,数据误差超限
DATA:PH-12,15,数据误差超限
DATA:PH-12,16,数据误差超限
DATA:PH-12,17,数据误差超限
DATA:PH-12,18,数据误差超限
DATA:PH-12,19,数据误差超限
DATA:PH-12,20,数据误差超限
DATA:PH-12,21,数据误差超限
DATA:PH-12,22,数据误差超限
DATA:PH-12,23,数据误差超限
DATA:PH-12,24,数据误差超限
DATA:PH-12,25,数据误差超限
DATA:PH-12,26,数据误差超限
DATA:PH-12,27,数据误差超限
DATA:PH-16,8,数据误差超限
DATA:PH-16,9,数据误差超限
DATA:PH-16,10,数据误差超限
DATA:PH-16,11,数据误差超限
DATA:PH-16,12,数据误差超限
DATA:PH-16,13,数据误差超限
DATA:PH-16,14,数据误差超限
DATA:PH-16,15,数据误差超限
DATA:PH-16,16,数据误差超限
DATA:PH-16,17,数据误差超限
DATA:PH-16,18,数据误差超限
DATA:PH-16,19,数据误差超限
DATA:PH-16,20,数据误差超限
DATA:PH-16,21,数据误差超限
DATA:PH-16,22,数据误差超限
DATA:PH-16,23,数据误差超限
DATA:PH-16,24,数据误差超限
DATA:PI-8,8,数据误差超限
DATA:PI-8,9,数据误差超限
DATA:PI-8,10,数据误差超限
DATA:PI-8,11,数据误差超限
DATA:PI-8,12,数据误差超限
DATA:PL-1,432,数据误差超限
DATA:PL-1,433,数据误差超限
DATA:PL-1,434,数据误差超限
DATA:PL-1,435,数据误差超限
DATA:PG-9,9,数据误差超限
DATA:PG-9,10,数据误差超限
DATA:PG-9,11,数据误差超限
DATA:PE-1,8,数据误差超限
DATA:PE-1,9,数据误差超限
DATA:PE-1,10,数据误差超限
DATA:PE-1,11,数据误差超限
DATA:PE-1,12,数据误差超限
DATA:PE-1,13,数据误差超限
DATA:PE-1,14,数据误差超限
DATA:PE-1,15,数据误差超限
DATA:PE-1,16,数据误差超限
DATA:PE-1,17,数据误差超限
DATA:PE-1,18,数据误差超限
DATA:PE-1,19,数据误差超限
DATA:PE-1,20,数据误差超限
DATA:PE-1,21,数据误差超限
DATA:PE-1,22,数据误差超限
DATA:PE-1,23,数据误差超限
DATA:PE-1,24,数据误差超限
DATA:PE-1,25,数据误差超限
DATA:PE-1,26,数据误差超限
DATA:PE-1,27,数据误差超限
DATA:PE-1,28,数据误差超限
DATA:PF-2,8,数据误差超限
DATA:P5-1补,8,数据误差超限
DATA:P5-1补,9,数据误差超限
DATA:P5-1补,10,数据误差超限
DATA:P5-1补,11,数据误差超限
DATA:P5-1补,12,数据误差超限
DATA:P5-1补,13,数据误差超限
DATA:P5-1补,14,数据误差超限
DATA:P5-1补,15,数据误差超限
DATA:P5-1补,16,数据误差超限
DATA:P5-1补,17,数据误差超限
DATA:P5-1补,18,数据误差超限
DATA:P5-1补,19,数据误差超限
DATA:P5-1补,20,数据误差超限
DATA:P5-1补,21,数据误差超限
DATA:P5-1补,22,数据误差超限
DATA:P5-1补,23,数据误差超限
