FILE:2017-03-13 08:41:06,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\大坝\大坝心墙\渗压计.xls
FILE:2017-03-13 08:43:14,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\大坝\大坝心墙\渗压计.xls
DATA:P1-1,8,数据误差超限
DATA:P1-1,9,数据误差超限
DATA:P1-1,10,数据误差超限
DATA:P1-1,11,数据误差超限
DATA:P1-1,12,数据误差超限
DATA:P1-1,13,数据误差超限
DATA:P1-1,14,数据误差超限
DATA:P1-1,15,数据误差超限
DATA:P1-1,16,数据误差超限
DATA:P1-1,17,数据误差超限
DATA:P1-1,18,数据误差超限
DATA:P1-1,19,数据误差超限
DATA:P1-1,20,数据误差超限
DATA:P1-1,21,数据误差超限
DATA:P1-1,22,数据误差超限
DATA:P1-1,23,数据误差超限
DATA:P1-1,74,数据误差超限
DATA:P1-1,75,数据误差超限
DATA:P1-1,76,数据误差超限
DATA:P1-1,77,数据误差超限
DATA:P1-1,78,数据误差超限
DATA:P1-1,79,数据误差超限
DATA:P1-1,80,数据误差超限
DATA:P1-1,140,数据误差超限
DATA:P1-1,141,数据误差超限
DATA:P1-1,142,数据误差超限
DATA:P1-1,143,数据误差超限
DATA:P1-1,144,数据误差超限
DATA:P1-1,145,数据误差超限
DATA:P1-1,146,数据误差超限
DATA:P1-1,147,数据误差超限
DATA:P1-1,148,数据误差超限
DATA:P1-1,149,数据误差超限
DATA:P1-1,150,数据误差超限
DATA:P1-1,151,数据误差超限
DATA:P1-1,152,数据误差超限
DATA:P1-1,153,数据误差超限
DATA:P1-1,154,数据误差超限
DATA:P1-1,155,数据误差超限
DATA:P1-1,156,数据误差超限
DATA:P1-1,157,数据误差超限
DATA:P1-1,158,数据误差超限
DATA:P1-1,159,数据误差超限
DATA:P1-1,160,数据误差超限
DATA:P1-1,161,数据误差超限
DATA:P1-1,162,数据误差超限
DATA:P1-1,163,数据误差超限
DATA:P1-1,164,数据误差超限
DATA:P1-1,165,数据误差超限
DATA:P1-1,166,数据误差超限
DATA:P1-1,167,数据误差超限
DATA:P1-1,168,数据误差超限
DATA:P1-1,169,数据误差超限
DATA:P1-1,170,数据误差超限
DATA:P1-1,171,数据误差超限
DATA:P1-1,172,数据误差超限
DATA:P1-1,173,数据误差超限
DATA:P1-1,174,数据误差超限
DATA:P1-1,175,数据误差超限
DATA:P1-1,176,数据误差超限
DATA:P1-1,177,数据误差超限
DATA:P1-1,178,数据误差超限
DATA:P1-1,179,数据误差超限
DATA:P1-1,180,数据误差超限
DATA:P1-1,181,数据误差超限
DATA:P1-1,182,数据误差超限
DATA:P1-1,183,数据误差超限
DATA:P1-1,184,数据误差超限
DATA:P1-1,185,数据误差超限
DATA:P1-1,186,数据误差超限
DATA:P1-1,187,数据误差超限
DATA:P1-1,188,数据误差超限
DATA:P1-1,189,数据误差超限
DATA:P1-1,190,数据误差超限
DATA:P1-1,191,数据误差超限
DATA:P1-1,192,数据误差超限
DATA:P1-1,193,数据误差超限
DATA:P1-1,194,数据误差超限
DATA:P1-1,195,数据误差超限
DATA:P1-1,196,数据误差超限
DATA:P1-1,197,数据误差超限
DATA:P1-1,198,数据误差超限
DATA:P1-1,199,数据误差超限
DATA:P1-1,200,数据误差超限
DATA:P1-1,201,数据误差超限
DATA:P1-1,202,数据误差超限
DATA:P1-1,203,数据误差超限
DATA:P1-1,204,数据误差超限
DATA:P1-1,205,数据误差超限
DATA:P1-1,206,数据误差超限
DATA:P1-1,207,数据误差超限
DATA:P1-1,208,数据误差超限
DATA:P1-1,209,数据误差超限
DATA:P1-1,210,数据误差超限
DATA:P1-1,211,数据误差超限
DATA:P1-1,212,数据误差超限
DATA:P1-1,213,数据误差超限
DATA:P1-1,214,数据误差超限
DATA:P1-1,215,数据误差超限
DATA:P1-1,216,数据误差超限
DATA:P1-2,68,数据误差超限
DATA:P1-2,69,数据误差超限
DATA:P1-2,70,数据误差超限
DATA:P1-2,71,数据误差超限
DATA:P1-2,72,数据误差超限
DATA:P1-2,73,数据误差超限
DATA:P1-2,74,数据误差超限
DATA:P1-2,75,数据误差超限
DATA:P1-2,76,数据误差超限
DATA:P1-2,77,数据误差超限
DATA:P1-2,78,数据误差超限
DATA:P1-2,79,数据误差超限
DATA:P1-2,80,数据误差超限
DATA:P1-2,81,数据误差超限
DATA:P1-2,82,数据误差超限
DATA:P1-2,83,数据误差超限
DATA:P1-2,84,数据误差超限
DATA:P1-2,85,数据误差超限
DATA:P1-2,86,数据误差超限
DATA:P1-2,87,数据误差超限
DATA:P1-2,88,数据误差超限
DATA:P1-2,89,数据误差超限
DATA:P1-2,90,数据误差超限
DATA:P1-2,91,数据误差超限
DATA:P1-2,119,数据误差超限
DATA:P1-2,120,数据误差超限
DATA:P1-3,41,数据误差超限
DATA:P1-3,42,数据误差超限
DATA:P1-3,43,数据误差超限
DATA:P1-3,44,数据误差超限
DATA:P1-3,45,数据误差超限
DATA:P1-3,46,数据误差超限
DATA:P1-3,47,数据误差超限
DATA:P1-3,48,数据误差超限
DATA:P1-3,49,数据误差超限
DATA:P1-3,50,数据误差超限
DATA:P1-3,54,数据误差超限
DATA:P1-3,55,数据误差超限
DATA:P1-3,74,数据误差超限
DATA:P1-3,75,数据误差超限
DATA:P1-3,76,数据误差超限
DATA:P1-3,77,数据误差超限
DATA:P1-3,78,数据误差超限
DATA:P1-3,79,数据误差超限
DATA:P1-3,80,数据误差超限
DATA:P1-3,81,数据误差超限
DATA:P1-6,100,数据误差超限
DATA:P1-6,104,数据误差超限
DATA:P1-6,109,数据误差超限
DATA:P1-6,111,数据误差超限
DATA:P1-6,155,数据误差超限
DATA:P1-6,156,数据误差超限
DATA:P2-1,24,数据误差超限
DATA:P2-1,25,数据误差超限
DATA:P2-1,26,数据误差超限
DATA:P2-1,27,数据误差超限
DATA:P2-1,28,数据误差超限
DATA:P2-1,29,数据误差超限
DATA:P2-1,30,数据误差超限
DATA:P2-1,31,数据误差超限
DATA:P2-1,32,数据误差超限
DATA:P2-1,33,数据误差超限
DATA:P2-1,34,数据误差超限
DATA:P2-1,35,数据误差超限
DATA:P2-1,36,数据误差超限
DATA:P2-1,37,数据误差超限
DATA:P2-1,38,数据误差超限
DATA:P2-1,39,数据误差超限
DATA:P2-1,40,数据误差超限
DATA:P2-1,41,数据误差超限
DATA:P2-1,42,数据误差超限
DATA:P2-1,43,数据误差超限
DATA:P2-1,44,数据误差超限
DATA:P2-1,45,数据误差超限
DATA:P2-1,46,数据误差超限
DATA:P2-1,47,数据误差超限
DATA:P2-1,48,数据误差超限
DATA:P2-1,49,数据误差超限
DATA:P2-1,50,数据误差超限
DATA:P2-1,51,数据误差超限
DATA:P2-1,52,数据误差超限
DATA:P2-1,53,数据误差超限
DATA:P2-1,54,数据误差超限
DATA:P2-1,55,数据误差超限
DATA:P2-1,56,数据误差超限
DATA:P2-1,57,数据误差超限
DATA:P2-1,58,数据误差超限
DATA:P2-1,68,数据误差超限
DATA:P2-1,69,数据误差超限
DATA:P2-1,70,数据误差超限
DATA:P2-1,71,数据误差超限
DATA:P2-1,72,数据误差超限
DATA:P2-1,73,数据误差超限
DATA:P2-1,74,数据误差超限
DATA:P2-1,75,数据误差超限
DATA:P2-1,76,数据误差超限
DATA:P2-1,77,数据误差超限
DATA:P2-1,78,数据误差超限
DATA:P2-1,79,数据误差超限
DATA:P2-1,80,数据误差超限
DATA:P2-1,87,数据误差超限
DATA:P2-1,88,数据误差超限
DATA:P2-1,95,数据误差超限
DATA:P2-1,96,数据误差超限
DATA:P2-1,97,数据误差超限
DATA:P2-1,98,数据误差超限
DATA:P2-1,99,数据误差超限
DATA:P2-1,100,数据误差超限
DATA:P2-1,101,数据误差超限
DATA:P2-1,115,数据误差超限
DATA:P2-1,116,数据误差超限
DATA:P2-1,117,数据误差超限
DATA:P2-1,118,数据误差超限
DATA:P2-1,119,数据误差超限
DATA:P2-1,134,数据误差超限
DATA:P2-1,138,数据误差超限
DATA:P2-1,141,数据误差超限
DATA:P2-1,147,数据误差超限
DATA:P2-1,148,数据误差超限
DATA:P2-1,149,数据误差超限
DATA:P2-1,151,数据误差超限
DATA:P2-1,153,数据误差超限
DATA:P2-1,158,数据误差超限
DATA:P2-1,159,数据误差超限
DATA:P2-1,160,数据误差超限
DATA:P2-1,161,数据误差超限
