FILE:2017-03-16 04:28:05,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\厂后(已移交)\厂后区锚索测力计.xls
FILE:2017-03-16 04:28:49,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\厂后(已移交)\厂后区锚索测力计.xls
FILE:2017-03-16 04:30:13,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\厂后(已移交)\厂后区锚索测力计.xls
DATA:DChb1-1,13,所有数据误差超限
DATA:DChb1-1,19,所有数据误差超限
DATA:DChb1-1,20,所有数据误差超限
DATA:DChb1-1,21,所有数据误差超限
DATA:DChb1-1,22,所有数据误差超限
DATA:DChb1-1,23,所有数据误差超限
DATA:DChb1-4,90,所有数据误差超限
DATA:DChb1-4,91,所有数据误差超限
DATA:DChb1-4,92,所有数据误差超限
DATA:DChb1-4,93,所有数据误差超限
DATA:DChb1-4,94,所有数据误差超限
DATA:DChb1-4,95,所有数据误差超限
DATA:DChb1-4,96,所有数据误差超限
DATA:DChb1-4,97,所有数据误差超限
DATA:DChb1-4,98,所有数据误差超限
DATA:DChb1-4,99,所有数据误差超限
DATA:DChb1-4,100,所有数据误差超限
DATA:DChb1-4,101,所有数据误差超限
DATA:DChb1-4,102,所有数据误差超限
DATA:DChb1-4,103,所有数据误差超限
DATA:DChb1-4,104,所有数据误差超限
DATA:DChb1-4,105,所有数据误差超限
DATA:DChb1-4,106,所有数据误差超限
DATA:DChb1-4,107,所有数据误差超限
DATA:DChb1-4,108,所有数据误差超限
DATA:DChb3-2,13,所有数据误差超限
DATA:DChb3-2,18,所有数据误差超限
DATA:DChb3-2,19,所有数据误差超限
DATA:DChb3-2,20,所有数据误差超限
DATA:DChb3-2,21,所有数据误差超限
DATA:DChb3-2,22,所有数据误差超限
FILE:2017-03-16 04:35:28,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\厂后(已移交)\厂后区锚索测力计.xls
FILE:2017-03-16 04:37:03,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\厂后(已移交)\厂后区锚索测力计.xls
DATA:DChb1-1,13,所有数据误差超限
DATA:DChb1-1,19,所有数据误差超限
DATA:DChb1-1,20,所有数据误差超限
DATA:DChb1-1,21,所有数据误差超限
DATA:DChb1-1,22,所有数据误差超限
DATA:DChb1-1,23,所有数据误差超限
DATA:DChb1-1,38,已添加了具有相同键的项。
DATA:DChb1-4,90,所有数据误差超限
DATA:DChb1-4,91,所有数据误差超限
DATA:DChb1-4,92,所有数据误差超限
DATA:DChb1-4,93,所有数据误差超限
DATA:DChb1-4,94,所有数据误差超限
DATA:DChb1-4,95,所有数据误差超限
DATA:DChb1-4,96,所有数据误差超限
DATA:DChb1-4,97,所有数据误差超限
DATA:DChb1-4,98,所有数据误差超限
DATA:DChb1-4,99,所有数据误差超限
DATA:DChb1-4,100,所有数据误差超限
DATA:DChb1-4,101,所有数据误差超限
DATA:DChb1-4,102,所有数据误差超限
DATA:DChb1-4,103,所有数据误差超限
DATA:DChb1-4,104,所有数据误差超限
DATA:DChb1-4,105,所有数据误差超限
DATA:DChb1-4,106,所有数据误差超限
DATA:DChb1-4,107,所有数据误差超限
DATA:DChb1-4,108,所有数据误差超限
DATA:DChb2-3,52,未将对象引用设置到对象的实例。
DATA:DChb2-3,53,未将对象引用设置到对象的实例。
DATA:DChb2-3,54,未将对象引用设置到对象的实例。
DATA:DChb2-3,55,未将对象引用设置到对象的实例。
DATA:DChb2-3,56,未将对象引用设置到对象的实例。
DATA:DChb2-3,57,未将对象引用设置到对象的实例。
DATA:DChb2-3,58,未将对象引用设置到对象的实例。
DATA:DChb2-3,59,未将对象引用设置到对象的实例。
DATA:DChb2-3,60,未将对象引用设置到对象的实例。
DATA:DChb2-3,61,未将对象引用设置到对象的实例。
DATA:DChb2-3,62,未将对象引用设置到对象的实例。
DATA:DChb2-3,63,未将对象引用设置到对象的实例。
DATA:DChb2-3,64,未将对象引用设置到对象的实例。
DATA:DChb2-3,65,未将对象引用设置到对象的实例。
DATA:DChb2-3,66,未将对象引用设置到对象的实例。
DATA:DChb2-3,67,未将对象引用设置到对象的实例。
DATA:DChb2-3,68,未将对象引用设置到对象的实例。
DATA:DChb2-3,69,未将对象引用设置到对象的实例。
DATA:DChb2-3,70,未将对象引用设置到对象的实例。
DATA:DChb2-3,71,未将对象引用设置到对象的实例。
DATA:DChb2-3,72,未将对象引用设置到对象的实例。
DATA:DChb2-3,73,未将对象引用设置到对象的实例。
DATA:DChb2-3,74,未将对象引用设置到对象的实例。
DATA:DChb2-3,75,未将对象引用设置到对象的实例。
DATA:DChb2-3,76,未将对象引用设置到对象的实例。
DATA:DChb2-3,77,未将对象引用设置到对象的实例。
DATA:DChb2-3,78,未将对象引用设置到对象的实例。
DATA:DChb2-3,79,未将对象引用设置到对象的实例。
DATA:DChb2-3,80,未将对象引用设置到对象的实例。
DATA:DChb2-3,81,未将对象引用设置到对象的实例。
DATA:DChb2-3,82,未将对象引用设置到对象的实例。
DATA:DChb2-3,83,未将对象引用设置到对象的实例。
DATA:DChb2-3,84,未将对象引用设置到对象的实例。
DATA:DChb2-3,85,未将对象引用设置到对象的实例。
DATA:DChb2-3,86,未将对象引用设置到对象的实例。
DATA:DChb2-3,87,未将对象引用设置到对象的实例。
DATA:DChb2-3,88,未将对象引用设置到对象的实例。
DATA:DChb2-3,89,未将对象引用设置到对象的实例。
DATA:DChb2-3,90,未将对象引用设置到对象的实例。
DATA:DChb2-3,91,未将对象引用设置到对象的实例。
DATA:DChb2-3,92,未将对象引用设置到对象的实例。
DATA:DChb2-3,93,未将对象引用设置到对象的实例。
DATA:DChb2-3,94,未将对象引用设置到对象的实例。
DATA:DChb2-3,95,未将对象引用设置到对象的实例。
DATA:DChb2-3,96,未将对象引用设置到对象的实例。
DATA:DChb2-3,97,未将对象引用设置到对象的实例。
DATA:DChb2-3,98,未将对象引用设置到对象的实例。
DATA:DChb2-3,99,未将对象引用设置到对象的实例。
DATA:DChb2-3,100,未将对象引用设置到对象的实例。
DATA:DChb2-3,101,未将对象引用设置到对象的实例。
DATA:DChb2-3,102,未将对象引用设置到对象的实例。
DATA:DChb2-3,103,未将对象引用设置到对象的实例。
DATA:DChb2-3,104,未将对象引用设置到对象的实例。
DATA:DChb2-3,105,未将对象引用设置到对象的实例。
DATA:DChb2-3,106,未将对象引用设置到对象的实例。
DATA:DChb2-3,107,未将对象引用设置到对象的实例。
DATA:DChb2-3,108,未将对象引用设置到对象的实例。
DATA:DChb2-3,109,未将对象引用设置到对象的实例。
DATA:DChb2-3,110,未将对象引用设置到对象的实例。
DATA:DChb2-3,111,未将对象引用设置到对象的实例。
DATA:DChb2-3,112,未将对象引用设置到对象的实例。
DATA:DChb2-3,113,未将对象引用设置到对象的实例。
DATA:DChb2-3,114,未将对象引用设置到对象的实例。
DATA:DChb2-3,115,未将对象引用设置到对象的实例。
DATA:DChb2-3,116,未将对象引用设置到对象的实例。
DATA:DChb2-3,117,未将对象引用设置到对象的实例。
DATA:DChb2-3,118,未将对象引用设置到对象的实例。
DATA:DChb2-3,119,未将对象引用设置到对象的实例。
DATA:DChb2-3,120,未将对象引用设置到对象的实例。
DATA:DChb2-3,121,未将对象引用设置到对象的实例。
DATA:DChb2-3,122,未将对象引用设置到对象的实例。
DATA:DChb2-3,123,未将对象引用设置到对象的实例。
DATA:DChb2-3,124,未将对象引用设置到对象的实例。
DATA:DChb2-3,125,未将对象引用设置到对象的实例。
DATA:DChb2-3,126,未将对象引用设置到对象的实例。
DATA:DChb2-3,127,未将对象引用设置到对象的实例。
DATA:DChb2-3,128,未将对象引用设置到对象的实例。
DATA:DChb2-3,129,未将对象引用设置到对象的实例。
DATA:DChb2-3,130,未将对象引用设置到对象的实例。
DATA:DChb2-3,131,未将对象引用设置到对象的实例。
DATA:DChb2-3,132,未将对象引用设置到对象的实例。
DATA:DChb2-3,133,未将对象引用设置到对象的实例。
DATA:DChb2-3,134,未将对象引用设置到对象的实例。
DATA:DChb2-3,135,未将对象引用设置到对象的实例。
DATA:DChb2-3,136,未将对象引用设置到对象的实例。
DATA:DChb2-3,137,未将对象引用设置到对象的实例。
DATA:DChb2-3,138,未将对象引用设置到对象的实例。
DATA:DChb2-3,139,未将对象引用设置到对象的实例。
DATA:DChb2-3,140,未将对象引用设置到对象的实例。
DATA:DChb2-3,141,未将对象引用设置到对象的实例。
DATA:DChb2-3,142,未将对象引用设置到对象的实例。
DATA:DChb2-3,143,未将对象引用设置到对象的实例。
DATA:DChb2-3,144,未将对象引用设置到对象的实例。
DATA:DChb2-3,145,未将对象引用设置到对象的实例。
DATA:DChb2-3,146,未将对象引用设置到对象的实例。
DATA:DChb2-3,147,未将对象引用设置到对象的实例。
DATA:DChb2-3,148,未将对象引用设置到对象的实例。
DATA:DChb2-3,149,未将对象引用设置到对象的实例。
DATA:DChb2-3,150,未将对象引用设置到对象的实例。
DATA:DChb2-3,151,未将对象引用设置到对象的实例。
DATA:DChb2-3,152,未将对象引用设置到对象的实例。
DATA:DChb2-3,153,未将对象引用设置到对象的实例。
DATA:DChb2-3,154,未将对象引用设置到对象的实例。
DATA:DChb2-3,155,未将对象引用设置到对象的实例。
DATA:DChb2-3,156,未将对象引用设置到对象的实例。
DATA:DChb2-3,157,未将对象引用设置到对象的实例。
DATA:DChb2-3,158,未将对象引用设置到对象的实例。
DATA:DChb2-3,159,未将对象引用设置到对象的实例。
DATA:DChb2-3,160,未将对象引用设置到对象的实例。
