FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\11月数据(2016.11)\11月数据\测缝计、裂缝计、位错计\11#机测缝计.xlsx
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\11月数据(2016.11)\11月数据\测缝计、裂缝计、位错计\位错计（一期+二期）.xls
DATA:WCL-3z,248,测值异常
DATA:WCL-5y,248,测值异常
DATA:WCL-5z,248,测值异常
DATA:WCR-3-x,180,测值异常
DATA:WCR-3-y,180,测值异常
DATA:WCR-3-z,180,测值异常
DATA:WCR-3-x,181,测值异常
DATA:WCR-3-y,181,测值异常
DATA:WCR-3-z,181,测值异常
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\11月数据(2016.11)\11月数据\测缝计、裂缝计、位错计\导流底孔测缝计.xlsx
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\11月数据(2016.11)\11月数据\测缝计、裂缝计、位错计\测缝计（一期）.xlsx
DATA:JC-7,390,观测日期有误
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\11月数据(2016.11)\11月数据\测缝计、裂缝计、位错计\测缝计（二期）.xlsx
DATA:KG-11,236,测值异常
DATA:KG-11,238,测值异常
DATA:KG-11,239,测值异常
DATA:KG-11,240,测值异常
DATA:KG-11,241,测值异常
DATA:KG-11,242,测值异常
DATA:KG-11,243,测值异常
DATA:KG-11,244,测值异常
DATA:KG-11,245,测值异常
DATA:KG-11,246,测值异常
DATA:KG-11,247,测值异常
DATA:KG-11,250,测值异常
DATA:JEY-4,333,数据误差超限
DATA:J3-2,239,测值异常
DATA:J3-2,240,测值异常
DATA:J3-2,241,测值异常
DATA:J3-2,242,测值异常
DATA:J3-2,243,测值异常
DATA:J3-2,244,测值异常
DATA:J3-2,245,测值异常
DATA:J3-2,246,测值异常
DATA:J3-2,247,测值异常
DATA:J3-2,248,测值异常
DATA:J3-2,249,测值异常
DATA:J3-2,250,测值异常
DATA:J3-2,251,测值异常
DATA:J3-2,252,测值异常
DATA:J3-2,253,测值异常
DATA:J3-2,254,测值异常
DATA:J3-2,255,测值异常
DATA:J4-1,336,数据误差超限
DATA:J06-10,219,观测日期有误
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\11月数据(2016.11)\11月数据\测缝计、裂缝计、位错计\裂缝计（一期）.xlsx
DATA:LF1-1,293,数据误差超限
DATA:LF1-1,294,数据误差超限
DATA:LF1-1,295,数据误差超限
DATA:LF1-1,296,数据误差超限
DATA:LF1-1,297,数据误差超限
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\二标段数据及月报（2016.11）\2016年11月月报及数据\2标段内观\地下洞室\右岸地下主厂房\主厂房-岩锚梁测缝计.xlsx
DATA:Jy1-1,3,测值异常
DATA:Jy1-1,4,测值异常
DATA:Jy1-2,3,测值异常
DATA:Jy1-2,4,测值异常
DATA:Jy2-1,3,测值异常
DATA:Jy2-1,4,测值异常
DATA:Jy2-2,3,测值异常
DATA:Jy2-2,4,测值异常
DATA:Jy3-1,3,测值异常
DATA:Jy3-1,4,测值异常
DATA:Jy3-2,3,测值异常
DATA:Jy3-2,4,测值异常
DATA:Jy4-1,3,测值异常
DATA:Jy4-1,4,测值异常
DATA:Jy4-2,3,测值异常
DATA:Jy4-2,4,测值异常
DATA:Jy5-1,3,测值异常
DATA:Jy5-1,4,测值异常
DATA:Jy5-2,3,测值异常
DATA:Jy5-2,4,测值异常
DATA:Jy6-1,3,测值异常
DATA:Jy6-1,4,测值异常
DATA:Jy6-2,3,测值异常
DATA:Jy6-2,4,测值异常
DATA:Jy7-1,3,测值异常
DATA:Jy7-1,4,测值异常
DATA:Jy7-2,3,测值异常
DATA:Jy7-2,4,测值异常
DATA:Jy8-1,3,测值异常
DATA:Jy8-1,4,测值异常
DATA:Jy8-2,3,测值异常
DATA:Jy8-2,4,测值异常
DATA:Jy9-1,3,测值异常
DATA:Jy9-1,4,测值异常
DATA:Jy9-2,3,测值异常
DATA:Jy9-2,4,测值异常
DATA:Jy10-1,3,测值异常
DATA:Jy10-1,4,测值异常
DATA:Jy10-2,3,测值异常
DATA:Jy10-2,4,测值异常
DATA:Jy11-1,3,测值异常
DATA:Jy11-1,4,测值异常
DATA:Jy11-2,3,测值异常
DATA:Jy11-2,4,测值异常
DATA:Jy12-1,3,测值异常
DATA:Jy12-1,4,测值异常
DATA:Jy12-2,3,测值异常
DATA:Jy12-2,4,测值异常
DATA:Jy13-1,3,测值异常
DATA:Jy13-1,4,测值异常
DATA:Jy13-2,3,测值异常
DATA:Jy13-2,4,测值异常
DATA:Jy14-1,3,测值异常
DATA:Jy14-1,4,测值异常
DATA:Jy14-2,3,测值异常
DATA:Jy14-2,4,测值异常
DATA:Jy14-2,5,测值异常
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\二标段数据及月报（2016.11）\2016年11月月报及数据\2标段内观\地下洞室\右岸地下主厂房\主厂房-岩锚梁混凝土测缝计.xlsx
DATA:Ja-1,3,测值异常
DATA:Ja-1,4,测值异常
DATA:Ja-2,3,测值异常
DATA:Ja-2,4,测值异常
DATA:Jb-1,3,测值异常
DATA:Jb-1,4,测值异常
DATA:Jb-2,3,测值异常
DATA:Jb-2,4,测值异常
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\二标段数据及月报（2016.11）\2016年11月月报及数据\2标段内观\地下洞室\右岸地下主厂房\主厂房-岩锚梁混凝土裂缝计.xlsx
DATA:Ka-1,3,测值异常
DATA:Ka-2,3,测值异常
DATA:Kb-1,3,测值异常
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\二标段数据及月报（2016.11）\2016年11月月报及数据\2标段内观\地下洞室\右岸地下厂房243高程以下(j)\243高程以下-测缝计.xlsx
DATA:Jj1-1,3,测值异常
DATA:Jj1-1,4,测值异常
DATA:Jj2-1,3,测值异常
DATA:Jj2-1,4,测值异常
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\二标段数据及月报（2016.11）\2016年11月月报及数据\2标段内观\地下洞室\右岸地下厂房尾水主洞(ab-678)\尾水主洞-测缝计.xlsx
DATA:Ja6-1,3,测值异常
DATA:Ja6-2,3,测值异常
DATA:Ja6-2,4,测值异常
DATA:Ja7-1,3,测值异常
DATA:Ja7-1,4,测值异常
DATA:Ja7-2,3,测值异常
DATA:Ja7-2,4,测值异常
DATA:Ja7-3,3,测值异常
DATA:Ja7-3,4,测值异常
DATA:Ja8-1,3,测值异常
DATA:Ja8-1,4,测值异常
DATA:Ja8-2,3,测值异常
DATA:Ja8-2,4,测值异常
DATA:Ja8-3,3,测值异常
DATA:Ja8-3,4,测值异常
DATA:Ja9-1,3,测值异常
DATA:Ja9-1,4,测值异常
DATA:Ja9-2,3,测值异常
DATA:Ja9-2,4,测值异常
DATA:Ja9-3,3,测值异常
DATA:Ja9-3,4,测值异常
DATA:Jb6-1,3,测值异常
DATA:Jb6-1,4,测值异常
DATA:Jb6-2,3,测值异常
DATA:Jb6-2,4,测值异常
DATA:Jb7-1,3,测值异常
DATA:Jb7-1,4,测值异常
DATA:Jb8-1,3,测值异常
DATA:Jb8-1,4,测值异常
DATA:Jb8-2,3,测值异常
DATA:Jb8-2,4,测值异常
DATA:Jb8-3,3,测值异常
DATA:Jb8-3,4,测值异常
DATA:Jb9-1,3,测值异常
DATA:Jb9-1,4,测值异常
DATA:Jb9-2,3,测值异常
DATA:Jb9-2,4,测值异常
DATA:Jb9-3,3,测值异常
DATA:Jb9-3,4,测值异常
DATA:Jb10-1,3,测值异常
DATA:Jb10-1,4,测值异常
DATA:Jb10-2,3,测值异常
DATA:Jb10-2,4,测值异常
DATA:Jb10-3,3,测值异常
DATA:Jb10-3,4,测值异常
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\二标段数据及月报（2016.11）\2016年11月月报及数据\2标段内观\地下洞室\右岸地下厂房尾水扩散段(w)\尾水扩散段-测缝计.xlsx
DATA:Jw1-1,3,测值异常
DATA:Jw1-1,4,测值异常
DATA:Jw2-1,3,测值异常
DATA:Jw2-1,4,测值异常
DATA:Jw3-1,3,测值异常
DATA:Jw3-1,4,测值异常
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\二标段数据及月报（2016.11）\2016年11月月报及数据\2标段内观\地下洞室\右岸地下厂房尾水支洞(ab-5)\尾水支洞-测缝计.xlsx
DATA:Ja5-1,3,测值异常
DATA:Ja5-1,4,测值异常
DATA:Ja5-3,3,测值异常
DATA:Ja5-3,4,测值异常
DATA:Ja5-2,3,测值异常
DATA:Ja5-2,4,测值异常
DATA:Jb5-1,3,测值异常
DATA:Jb5-1,4,测值异常
DATA:Jb5-2,3,测值异常
DATA:Jb5-2,4,测值异常
DATA:Jb5-3,3,测值异常
DATA:Jb5-3,4,测值异常
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\二标段数据及月报（2016.11）\2016年11月月报及数据\2标段内观\地下洞室\右岸地下厂房引水洞(ab-1234)\引水洞-测缝计.xlsx
DATA:Ja1-1,3,测值异常
DATA:Ja3-1,3,测值异常
DATA:Ja3-1,4,测值异常
DATA:Ja4-1,3,测值异常
DATA:Ja4-1,4,测值异常
DATA:Jb3-1,3,测值异常
DATA:Jb3-1,4,测值异常
DATA:Jb4-1,3,测值异常
DATA:Jb4-1,4,测值异常
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\二标段数据及月报（2016.11）\2016年11月月报及数据\2标段内观\地下洞室\右岸地下厂房水轮机蜗壳(o)\蜗壳-测缝计.xlsx
DATA:J01-1,3,测值异常
DATA:J01-1,4,测值异常
DATA:J01-2,3,测值异常
DATA:J01-2,4,测值异常
DATA:J01-3,3,测值异常
DATA:J01-3,4,测值异常
DATA:J01-4,3,测值异常
DATA:J01-4,4,测值异常
DATA:J01-5,3,测值异常
DATA:J01-5,4,测值异常
DATA:J01-6,3,测值异常
DATA:J01-6,4,测值异常
DATA:J01-7,3,测值异常
DATA:J01-7,4,测值异常
DATA:J01-8,3,测值异常
DATA:J01-8,4,测值异常
DATA:J01-9,3,测值异常
DATA:J01-9,4,测值异常
DATA:J01-10,3,测值异常
DATA:J01-10,4,测值异常
DATA:J01-11,3,测值异常
DATA:J01-11,4,测值异常
DATA:J01-12,3,测值异常
DATA:J01-12,4,测值异常
DATA:J01-13,3,测值异常
DATA:J01-13,4,测值异常
DATA:J03-1,3,测值异常
DATA:J03-1,4,测值异常
DATA:J03-2,3,测值异常
DATA:J03-2,4,测值异常
DATA:J03-3,3,测值异常
DATA:J03-3,4,测值异常
DATA:J03-4,3,测值异常
DATA:J03-4,4,测值异常
DATA:J03-5,3,测值异常
DATA:J03-5,4,测值异常
DATA:J03-6,3,测值异常
DATA:J03-6,4,测值异常
DATA:J03-7,3,测值异常
DATA:J03-7,4,测值异常
DATA:J03-8,3,测值异常
DATA:J03-8,4,测值异常
DATA:J03-9,3,测值异常
DATA:J03-9,4,测值异常
DATA:J03-10,3,测值异常
DATA:J03-10,4,测值异常
DATA:J03-11,3,测值异常
DATA:J03-11,4,测值异常
DATA:J03-12,3,测值异常
DATA:J03-12,4,测值异常
DATA:J03-13,3,测值异常
DATA:J03-13,4,测值异常
FILE:2017-02-06 04:47:27,D:\AWORK\向家坝\向家坝11月数据\二标段数据及月报（2016.11）\2016年11月月报及数据\2标段内观\左岸高边坡\左岸边坡-测缝计.xlsx
DATA:9JJ-1,3,测值异常
DATA:9JJ-2,3,测值异常
DATA:9JJ-3,3,测值异常
写入118163行测值
